,Human Longitude,Human Latitude,Human Acres Burned
13270,-124.31889,43.23083,0.5
7710,-124.31833,42.08583,0.01
5535,-124.31817,42.07083,0.01
13002,-124.3175,43.31972,0.1
12431,-124.31722,43.34333,0.44
3312,-124.31702,42.10792,0.03
11725,-124.31639,43.34194,0.3
16700,-124.31639,42.48111,0.18
7908,-124.31583,42.06889,0.01
12138,-124.31528,43.34861,0.02
10554,-124.31528,42.88944,0.01
1489,-124.31487,43.25691,0.02
6502,-124.31417,42.08472,0.01
12077,-124.31361,42.50278,16.9
7921,-124.31278,43.36278,0.02
11444,-124.3125,42.08861,2.05
3304,-124.31241,42.53652,8.0
9309,-124.31222,42.16472,6.69
15796,-124.31056,43.37889,0.01
496,-124.31037,43.32071,0.05
8483,-124.31028,42.08444,0.02
13862,-124.31028,43.10778,0.1
6336,-124.31028,42.47528,0.2
2467,-124.30996,43.07237,0.5
5141,-124.30983,42.47533,0.08
16657,-124.30944,42.12583,0.01
11521,-124.30944,43.26139,0.05
10607,-124.30889,42.86472,0.0
10169,-124.30861,43.34722,0.25
5723,-124.30833,43.39667,0.24
7985,-124.30778,43.34667,0.02
14001,-124.3075,42.14889,2.3
5037,-124.30683,42.09867,0.05
4965,-124.30683,42.91067,0.5
7980,-124.30639,43.34611,0.02
7076,-124.30611,42.09889,0.15
6986,-124.30611,42.09889,0.02
11755,-124.30583,43.20472,0.01
2507,-124.30508,43.20447,0.01
9611,-124.30417,42.06333,0.01
10777,-124.30389,43.34806,0.01
14372,-124.30389,43.34786,0.01
4515,-124.303,42.09,0.01
8750,-124.3025,43.34778,0.49
62,-124.30245,42.10843,0.25
12432,-124.30167,42.4475,27.7
6423,-124.30139,43.3425,0.01
6464,-124.30111,42.09639,0.5
7885,-124.30056,43.35,0.8
6347,-124.30056,42.83889,0.01
5516,-124.30033,43.3605,0.01
7673,-124.30028,43.35861,0.01
9916,-124.3,43.35139,0.25
14270,-124.3,43.10972,0.1
1473,-124.29976,43.23941,0.01
12002,-124.29972,43.36306,0.01
8352,-124.29972,42.2625,0.0
15413,-124.29944,43.12167,319.0
7577,-124.29917,43.35917,0.01
4741,-124.29917,43.32817,1.25
2021,-124.29906,43.36072,0.1
8038,-124.29889,43.22639,0.01
7775,-124.29806,42.10528,0.01
14006,-124.29806,43.31722,0.1
3104,-124.29797,42.05657,0.01
6698,-124.29778,42.09972,0.01
1235,-124.29773,42.50058,0.1
16225,-124.2975,42.44944,0.25
14746,-124.29725,43.08339,0.16
16935,-124.29639,43.22806,0.01
13562,-124.29611,43.15222,0.1
3483,-124.29594,43.13606,0.36
3600,-124.29587,43.34284,0.04
3212,-124.29582,43.33532,0.01
10704,-124.29556,43.36806,0.01
16985,-124.29528,43.41111,0.52
10667,-124.29528,43.36861,0.01
6796,-124.295,43.36833,0.01
14379,-124.29481,43.23108,0.01
10443,-124.29472,43.36972,0.01
8149,-124.29444,43.3725,0.9
8893,-124.29444,42.08861,0.01
6156,-124.29444,42.08639,0.01
9957,-124.29417,43.23278,0.0
5510,-124.2935,43.395,0.01
14106,-124.29333,43.3675,0.25
9949,-124.29333,43.37306,0.13
16934,-124.2925,43.37528,0.01
13592,-124.29194,43.41278,0.03
15234,-124.29194,43.36833,0.01
4432,-124.29166,43.396,0.02
13502,-124.29139,42.07333,0.01
8356,-124.29139,42.04917,0.01
6512,-124.29139,42.04889,0.01
8090,-124.29139,42.04917,0.01
13563,-124.29083,43.14639,0.01
2803,-124.29063,43.2464,63.0
6905,-124.29056,43.35806,0.01
173,-124.29046,43.35653,0.01
2942,-124.29019,43.36794,0.01
10118,-124.29,43.37611,0.01
6916,-124.28972,43.37722,0.01
11695,-124.28944,43.37694,0.01
13287,-124.28944,43.14222,0.01
16670,-124.28917,43.37722,0.01
15114,-124.28858,43.36614,0.01
2185,-124.2885,42.04233,0.25
2251,-124.2885,42.04233,0.03
5638,-124.28833,42.07194,1.0
15005,-124.28831,43.36628,0.01
11198,-124.28806,43.33833,0.03
1300,-124.28761,43.3933,0.01
14068,-124.28611,43.13333,0.01
7129,-124.28611,42.92583,2.0
