,Lightning Longitude,Lightning Latitude,Lightning Acres Burned
1775,-123.59833,42.4745,0.5
3718,-123.59806,42.87056,10.0
1622,-123.5975,44.1965,0.25
3958,-123.59639,42.64972,0.01
3992,-123.59583,42.19444,0.01
5269,-123.59553,42.4822,0.1
2777,-123.59333,43.26222,0.1
795,-123.59277,43.28496,1.0
5066,-123.59,42.03194,70.0
2665,-123.58944,44.85806,0.1
3680,-123.58944,42.84361,25.0
6174,-123.58833,43.0825,0.01
269,-123.58802,43.47056,0.01
3713,-123.58667,42.87028,0.25
5001,-123.58635,42.6606,10.75
5112,-123.5858,42.26897,0.01
2468,-123.58556,42.7425,1.6
2659,-123.58528,44.87472,0.25
4535,-123.585,43.57667,0.01
3065,-123.585,42.21917,0.1
3957,-123.58389,42.35333,0.25
4732,-123.58389,42.72861,0.1
3682,-123.58389,42.8575,23563.71
2735,-123.58361,43.56694,1.5
1890,-123.58333,42.15,0.01
5004,-123.58322,42.73665,6.5
5005,-123.58322,42.73665,6.5
5259,-123.58172,42.50915,52839.0
2477,-123.58167,42.62833,0.1
4534,-123.58139,43.40667,0.01
1113,-123.58137,44.20511,1.5
803,-123.57804,43.51786,0.01
3695,-123.57694,42.8775,15.0
3074,-123.57611,42.71861,0.25
3626,-123.57611,42.6275,0.1
3627,-123.57611,42.6275,0.1
3667,-123.57556,42.54917,0.01
2192,-123.57528,42.27694,0.01
4488,-123.57528,42.11389,0.01
1693,-123.5745,45.94066,0.01
1763,-123.57233,43.03967,0.25
5417,-123.57172,43.3387,0.25
2226,-123.57083,43.513,0.01
4431,-123.57083,43.05778,0.1
1107,-123.57064,44.50419,0.2
611,-123.57059,42.36864,2.5
784,-123.56982,43.08901,0.01
550,-123.56956,44.60586,0.25
6117,-123.56722,44.77528,0.04
2113,-123.56667,44.39722,0.01
1236,-123.56608,42.10205,0.25
5224,-123.5659,42.53087,2.14
2224,-123.56528,42.61,1.0
5817,-123.56472,43.82667,0.01
3676,-123.56472,42.84889,0.75
3122,-123.56333,43.01111,0.01
6015,-123.56329,43.76339,0.1
161,-123.56321,43.23763,0.01
3809,-123.56194,42.55806,0.25
1122,-123.56181,44.04703,0.01
2672,-123.56167,44.95139,1.25
3675,-123.56111,42.84778,2.0
1264,-123.56067,42.15635,0.01
1342,-123.56055,42.32098,0.1
4334,-123.55944,44.84333,0.01
4539,-123.55944,42.85889,0.01
1976,-123.55917,42.53767,0.01
5036,-123.55889,42.44917,400.0
2676,-123.55694,45.01472,0.2
5289,-123.55683,42.52887,0.52
3613,-123.55667,42.56861,0.01
5135,-123.55667,44.85806,0.1
2674,-123.55667,45.01333,0.01
4248,-123.55611,42.84778,0.25
733,-123.55486,43.16996,3.0
2767,-123.55417,43.8925,0.01
5290,-123.5535,42.52747,0.01
5214,-123.55239,42.50922,0.1
5307,-123.55239,42.50922,1.0
5609,-123.55187,42.99478,0.01
209,-123.55126,42.60987,0.01
1281,-123.55113,42.16024,0.01
2199,-123.55111,42.10194,0.01
3060,-123.55083,42.50944,0.1
4911,-123.5501,42.66037,0.1
1694,-123.55,44.4,0.01
5210,-123.54805,42.15168,0.01
3709,-123.54667,42.4875,2.75
88,-123.54652,42.60288,0.1
1100,-123.54612,44.17106,0.0
2194,-123.54528,42.3175,1.0
152,-123.54383,44.75505,0.01
2671,-123.54361,45.14028,0.25
1581,-123.54333,42.61333,0.01
6128,-123.543,42.60767,25.7
3678,-123.5425,42.96833,0.5
2198,-123.54083,42.5075,0.1
2713,-123.53972,43.70667,3.0
6146,-123.5385,42.28,0.1
4541,-123.53833,43.53556,0.01
5209,-123.5378,42.17398,0.1
5134,-123.53722,44.92306,0.1
3662,-123.53722,42.32778,0.21
653,-123.53701,42.76955,0.01
2887,-123.53694,42.92361,0.01
98,-123.53675,42.64971,0.01
368,-123.5361,42.09843,0.25
3666,-123.53528,42.62194,2.5
6187,-123.53444,42.9525,0.01
